ad_name,Creative_Score,Spend,impressions,frequency,CTR_Decimal,Outbound_Clicks,CPA,ROAS_Purchase,CVR_Decimal,ThruPlay_Decimal,creative_link,format,setting,dominant_color,hook,emotion
EPV1 - @eileencassidy_ - Cierra Midi Dress - White - Exisiting Posts - AUS - 01.04.25,45.17238256098881,111.22,3920,1.48204159,0.0375,121.0,18.536666666666665,7.36809926,0.0495867768595041,0.0313775510204081,https://www.facebook.com/?feed_demo_ad=120219840781250758&h=AQBXER0r0U9Clenn1hA,Static Image,Outdoor Lifestyle,Vibrant Pink/Red,Medium-paced edit,Pleasant
V1 - Yana Partnership - Margo,42.7408226200586,99.45,9459,1.39041599,0.0096204673,69.0,9.040909090909093,14.82936149,0.1594202898550724,0.0250555026958452,https://www.facebook.com/?feed_demo_ad=120233636374060758&h=AQAZZ5fCHaL1L5givyQ,Static Image,Outdoor Lifestyle,Black/White,Standard Product Showcase,Informative
DYNCAR - All Prods - AUS - 05.08.25,42.22249455192934,6996.31,330686,2.21862462,0.0459952946,14490.0,30.28705627705628,4.94027423,0.0159420289855072,3.024016740956678e-06,https://www.facebook.com/?feed_demo_ad=120234909082360758&h=AQAMirR7AQ9UCPAQ-cA,Carousel,Indoor Fashion Shot,Cool Blue/Green,Standard Product Showcase,Pleasant
V1 - Paris Partnership - Dresses,42.05814671863936,378.47,29149,1.69087534,0.0110809976,229.0,10.513055555555557,15.5207282,0.1572052401746725,0.0067240728669937,https://www.facebook.com/?feed_demo_ad=120235625852650758&h=AQDYbEE7KYqISM8DH84,Static Image,Indoor Fashion Shot,Cool Blue/Green,Standard Product Showcase,Informative
DYNCOL1 - Bridesmaid Dresses - Dusty Pink - AUS - 17.09.24,40.091797652930474,314.12,20050,2.29011993,0.0124688279,100.0,19.6325,10.17872151,0.16,0.0,https://www.facebook.com/?feed_demo_ad=120233779758790758&h=AQBRyiOqIMFIRyNbCIA,Carousel,Indoor Fashion Shot,Black/White,Standard Product Showcase,Pleasant
EPV1 - @dekota_thompson - Chiara Maxi Dress - Yellow - AUS - 23.09.25 – Copy,28.388548283725555,184.92,13913,1.2956789,0.0167469273,124.0,20.546666666666667,5.5431538,0.0725806451612903,0.0176813052540789,https://www.facebook.com/?feed_demo_ad=120234546450430758&h=AQAAMVr6eU38VVG2CR4,Carousel,Indoor Fashion Shot,Black/White,No clear CTA,Boring/Neutral
EPV1 - @bynicolevoz - Bridesmaid Dresses and Gowns - AUS -  14.10.25 – Copy,27.862738088141516,66.67,5527,1.38556029,0.0137506785,54.0,33.335,7.97660117,0.037037037037037,0.0808757011036728,https://www.facebook.com/?feed_demo_ad=120235697641920758&h=AQDTVKyxusfITL32AGU,Static Image,Product Demo,Black/White,Busy Background,Confused/Aesthetic Only
DYNCAR1 - Yellow Dresses - UK - 10.09.25,27.22381324144647,311.76,18153,2.46577017,0.0291411888,410.0,62.352,5.70701822,0.0121951219512195,0.0,https://www.facebook.com/?feed_demo_ad=120233790642970758&h=AQD6UOqDjMWsMKcTamA,Static Image,Indoor Fashion Shot,Vibrant Pink/Red,Slow Intro/Weak Hook,Boring/Neutral
V1 - Partnership - @chlobellexx - Maternity Dress - AUS,23.144283331389953,311.91,30056,1.67639021,0.0140071865999999,293.0,34.656666666666666,5.88817287,0.030716723549488,0.0554964067074793,https://www.facebook.com/?feed_demo_ad=120235479154160758&h=AQAmN9hl0oU5lGCiTSU,Static Image,Outdoor Lifestyle,Muted Earth Tones,Busy Background,Confused/Aesthetic Only
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25,22.938130432082698,1026.31,80223,1.30905798,0.0169652095,750.0,35.39,4.01124417,0.0386666666666666,0.0264761975991922,https://www.facebook.com/?feed_demo_ad=120235410760240758&h=AQCaZ8Lb9tQHhz0opek,Studio Shoot,Text Overlay Only,Black/White,No clear CTA,Boring/Neutral
V7 - Partnership - @Bellarychter - AUS - 01.10.25,22.22270612407097,119.45,10401,1.44018277,0.0116334968,101.0,19.908333333333335,4.08338217,0.0594059405940594,0.0302855494663974,https://www.facebook.com/?feed_demo_ad=120235479154040758&h=AQDNrWsF-3nc-IyoDac,UGC-Style Video,Product Demo,Black/White,Busy Background,Boring/Neutral
EPV2 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow - AUS - 16.09.25 – Copy,21.86935643881779,1142.81,100740,1.56781573,0.0143438555,784.0,28.57025,4.92451064,0.0510204081632653,0.0137780424856065,https://www.facebook.com/?feed_demo_ad=120234162327840758&h=AQC60AOuLF8a7Tzxtmc,Static Image,Text Overlay Only,Vibrant Pink/Red,Busy Background,Confused/Aesthetic Only
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,20.834028992886186,154.14,9472,1.16894977,0.0200591215999999,112.0,77.07,1.32282341,0.0178571428571428,0.0281883445945945,https://www.facebook.com/?feed_demo_ad=120235410888040758&h=AQCxd9CKtVeHk61yWr4,Carousel,Indoor Fashion Shot,Cool Blue/Green,Slow Intro/Weak Hook,Confused/Aesthetic Only
DYNS1 - Freya Maxi Dress - Black - AUS - 21.08.25,20.79755728859176,213.3,46258,1.6485976,0.00183752,67.0,26.6625,4.40436006,0.1194029850746268,0.0007566258809287,https://www.facebook.com/?feed_demo_ad=120233321624670758&h=AQBYGbdKCX-rnNSpmoU,Studio Shoot,Outdoor Lifestyle,Black/White,No clear CTA,Confused/Aesthetic Only
EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 09.10.25 – Copy,20.464176248387332,188.8,11208,1.33890814,0.017309065,116.0,62.93333333333334,2.29237288,0.0258620689655172,0.029621698786581,https://www.facebook.com/?feed_demo_ad=120235482283890758&h=AQDXkmor7955jjDkZL0,Studio Shoot,Outdoor Lifestyle,Cool Blue/Green,Slow Intro/Weak Hook,Boring/Neutral
V1 - Celine Partnership - Polka Dots,20.143807344219763,258.62,26361,1.77826498,0.0115701225,230.0,23.51090909090909,6.59078958,0.0478260869565217,0.016880998444672,https://www.facebook.com/?feed_demo_ad=120235479154030758&h=AQDSBFupTbROAf56zOg,Static Image,Outdoor Lifestyle,Vibrant Pink/Red,Busy Background,Boring/Neutral
EP3 - @sophiebatzloff - Baxter Pant - White Lace - AUS - 14.10.25 – Copy,15.29939236741296,1190.58,79761,1.74443934,0.0096413034,625.0,38.405806451612904,3.60580557,0.0496,0.0,https://www.facebook.com/?feed_demo_ad=120235697641940758&h=AQDJRw8pgjLhH9jzj3k,Studio Shoot,Text Overlay Only,Muted Earth Tones,Busy Background,Confused/Aesthetic Only
C1- Rochelle Partnership - Event Ready,15.258596897234307,1911.19,272467,2.21516085,0.0110288585,2031.0,27.69840579710145,5.36982718,0.0339734121122599,0.0039087302315509,https://www.facebook.com/?feed_demo_ad=120234274376440758&h=AQDGDo7ywoSRmL2j0UU,UGC-Style Video,Text Overlay Only,Cool Blue/Green,Slow Intro/Weak Hook,Confused/Aesthetic Only
EP4 - @deepikangalie - Alani Maxi Dress - Chocolate - AUS - 14.10.25 – Copy,13.88554685649637,60.05,5221,1.31577621,0.0135989274,47.0,60.05,3.44579517,0.0212765957446808,0.0,https://www.facebook.com/?feed_demo_ad=120235697641930758&h=AQCteIMbXp_U0bA8t5w,Carousel,Product Demo,Muted Earth Tones,No clear CTA,Boring/Neutral
EP1 - @sophiebatzloff  - Baxter Pant - White Lace - USA - 14.10.25 – Copy,13.5846855563554,328.99,9267,1.48295727,0.0169418366,97.0,328.99,0.9421259,0.0103092783505154,0.0,https://www.facebook.com/?feed_demo_ad=120235698307570758&h=AQANE0Gar7zta-HYtg4,Static Image,Outdoor Lifestyle,Muted Earth Tones,Slow Intro/Weak Hook,Confused/Aesthetic Only
C1- Rochelle Partnership - Event Ready - Copy,12.762314866707888,76.7,9801,1.47494357,0.0154065912,120.0,76.7,2.0071708,0.0083333333333333,0.0025507601265177,https://www.facebook.com/?feed_demo_ad=120235479879940758&h=AQAqeY5LkNqBdYXIboA,Carousel,Indoor Fashion Shot,Muted Earth Tones,Busy Background,Confused/Aesthetic Only
DYNCOL3 - Green - Bridesmaids - AUS - 05.03.24 – Copy,12.37671971679648,2483.11,293294,2.13905218,0.0094785437,1133.0,63.669487179487184,3.22562835,0.0344218887908208,0.0,https://www.facebook.com/?feed_demo_ad=120233901364650758&h=AQCc3B_bObVqYnzvZ6k,Studio Shoot,Outdoor Lifestyle,Black/White,Slow Intro/Weak Hook,Boring/Neutral
EP5 - @lillychugg - Robin Off Shoulder Top - Taupe - AUS - 14.10.25 – Copy,10.606649803013289,175.45,42769,1.38370701,0.0031798733,120.0,29.241666666666664,5.25779424,0.05,0.0,https://www.facebook.com/?feed_demo_ad=120235697641960758&h=AQDdMGeyV_OKMY3sUIc,Studio Shoot,Product Demo,Black/White,No clear CTA,Boring/Neutral
DYNCAR - Gigi Maxi - AUS - 19.08.25,10.402941544395594,2437.97,417758,4.63711844,0.0104893264,3960.0,39.9667213114754,3.88257034,0.0154040404040404,0.0,https://www.facebook.com/?feed_demo_ad=120233321624560758&h=AQDJaQT0ibmP2XzBMko,Studio Shoot,Outdoor Lifestyle,Vibrant Pink/Red,No clear CTA,Boring/Neutral
EP3 - Blue Orchid - AUS - 09.10.25 – Copy,7.012459448988523,84.04,11046,1.27699422,0.0085098678,77.0,84.04,1.61732508,0.0129870129870129,0.0,https://www.facebook.com/?feed_demo_ad=120235482283870758&h=AQBIKtyL1glgVBSpxSM,UGC-Style Video,Indoor Fashion Shot,Cool Blue/Green,Busy Background,Boring/Neutral
